,P/B,D/E,Y/Y Revenue Growth,Gross Profit Margin,Trailing P/E,Forward P/E
Oil & Gas Midstream,105.70887423926467,231.69160655737707,0.134969696969697,0.49264134402985066,25.420284712500006,20.411329264081637
Oil & Gas Refining & Marketing,40.87894997157895,2366.7913333333336,0.020888888888888887,0.13438841993157893,24.324444615384614,4.901075833333334
Thermal Coal,2.234875283333333,19.76516666666667,0.12116666666666669,0.3237933333333333,12.154665,19.880117799999997
Uranium,5.309957883333333,46.52700000000001,-0.242625,-0.09146845230769231,137.068339175,30.715901375
Asset Management,1.1981080333798884,56.85856338028168,0.17864814814814817,0.7159674228444446,27.410472935928144,34.4855678618182
Banks—Diversified,3.6495524080769233,,0.147,0.0,35.95319192916667,12.70493589473684
Banks—Regional,1.4000762834562215,11.369,0.22185981308411232,0.006163317880184332,18.147011390306133,9.422564390740733
Capital Markets,2.8338377372402066,208.5172068965518,1.4479886363636363,0.5210266997319584,18.87835500976604,15.87507542525424
Credit Services,3.3979844758541664,367.97119999999995,0.18579999999999997,0.62876541875,19.36111942162163,8.179941883073173
Financial Conglomerates,1.9747867383333333,117.5128,0.059166666666666666,0.54705667,770.6326759,12.042149720000001
Financial Data & Stock Exchanges,3.2828394666666667,72.03229999999999,0.05881818181818181,0.7438546169230769,27.648501454545453,20.074734749999998
Insurance Brokers,1.5598955089047624,142.02383333333336,1.1618000000000002,0.44708809380952386,20.912141226923076,12.23503995375
Insurance—Diversified,1.4514980982076924,26.226181818181814,0.01475,0.40012153615384616,11.207362192307691,12.462471245454545
Insurance—Life,0.7304305014512,89.35074999999999,0.7056800000000001,0.38368960239999994,19.67013129047619,8.3092845
Insurance—Property & Casualty,1.0939170302083332,63.36573913043476,0.18815217391304354,0.3319104332608696,13.323207300000002,7.646212016666667
Insurance—Reinsurance,0.87413324425,19.0275,0.47750000000000004,0.21226500024999997,7.21868324,0.0535623571428567
Insurance—Specialty,1.3670449547058827,37.60575,0.05050000000000001,0.5634847076470587,20.491244978571427,7.418313792857144
Mortgage Finance,1.1630495391666666,687.8679,1.0247,0.8183041666666666,17.596403340000002,47.52778702727273
Shell Companies,-498.82628001718257,32.87833333333333,,0.0,47.7393216,
Biotechnology,17.935001360324154,80.86035365853658,0.7622555555555558,0.11708231512272724,20.104898306335937,-6.6415937864131465
Diagnostics & Research,-25.593820498250004,82.91516666666666,0.1573783783783784,0.45424800125,49.87736771789474,-8.430602336857143
Drug Manufacturers—General,-1.4245464709090905,192.97862500000002,0.01772222222222222,0.5819531795454546,25.1932649375,11.533060734
Drug Manufacturers—Specialty & Generic,37.95106225199997,889.8145,0.937877192982456,0.4366691402857143,32.023921436799995,6.05527360135
Health Information Services,5.4976216525,53.959564102564094,0.1178888888888889,0.45848744893617027,153.20514812333332,-9.902003335131576
Healthcare Plans,3.8011889945454542,84.32079999999999,0.17754545454545456,0.15443727490909095,22.862885000000002,12.911714163636363
Medical Care Facilities,3.1065952361814575,522.256511627907,0.10852173913043478,0.29193270739583327,37.495437775324646,-15.287583138133337
Medical Devices,7.175005121696722,229.76380952380967,0.18634862385321105,0.4228441316049587,36.95787481288749,12.62791664795238
Medical Distribution,-6.474736736666666,147.7538,0.058777777777777755,0.27160444666666667,25.584166399999997,31.958428225000006
Medical Instruments & Supplies,3.7617517453109097,64.512,0.1462916666666667,0.40802109134545467,313.96771568799994,13.702701438139538
Pharmaceutical Retailers,1.5612511533333333,93.06483333333335,1.2388333333333332,0.27474333133333334,0.6188,-19.028481099999997
Aerospace & Defense,6.1662195205333346,75.16519117647057,0.3943676470588235,0.25311079965333333,95.34876685529069,-294.8610472790164
Airlines,1401.101012481111,337.82192857142854,0.06494444444444443,0.25195944272222226,21.493368625,4.470823563529412
Airports & Air Services,27.032472775000002,79.93628571428572,70.09387500000001,0.4915837475,22.843381500000003,6.183917132857142
Building Products & Equipment,2.7993216167647055,264.3159117647059,0.001437499999999997,0.27340588,34.48226613043478,-15.683248255172414
Business Equipment & Supplies,0.8199473239999999,162.00039999999998,0.3094,0.28906400000000004,34.82453733333333,2.268863025
Conglomerates,-0.3168888876923077,284.555,0.08215999999999997,0.3013749988461538,51.07839863076924,15.972636231578948
Consulting Services,8.099709654329548,154.326,0.3085238095238095,0.51884045,40.36526206208333,9.740875050000003
Electrical Equipment & Parts,4.35115152131818,251.49754285714283,0.45275,0.16744244697777777,31.24512286506875,9.987849828529415
Engineering & Construction,6.700699352739997,108.56847916666669,0.22604000000000007,0.20248379931999996,68.34204491428571,22.055592343999997
Farm & Heavy Construction Machinery,1.7245623827307692,94.35077272727273,-0.05530769230769229,0.2082369219230769,31.938824049999997,12.378419033636362
Industrial Distribution,4.2883528904545445,97.14563636363636,6.76209090909091,0.28741227181818185,207.08936352,18.727336149999996
Infrastructure Operations,,,,,,
Integrated Freight & Logistics,2.3641783735483872,86.21331034482756,0.22503225806451613,0.20798903480645164,30.079698640625,15.049981835294117
Marine Shipping,1.4177781561711114,81.6830487804878,0.10111904761904758,0.4721847729545454,16.599030901209375,4.986524329642857
Metal Fabrication,3.705463075472222,56.500647058823525,0.06735294117647059,0.21566555388888892,61.07264150000001,17.92572642142857
Pollution & Treatment Controls,2.8383567941176477,49.23521428571428,1.0219285714285713,0.3681829429411764,29.669435000000004,-1.9361445307692309
Railroads,2.6043205973571433,116.47066666666667,-0.0786153846153846,0.3248930730769231,20.30313009090909,13.783722071666666
Rental & Leasing Services,2.7313119382758617,335.60062500000004,0.05548275862068966,0.45077793413793094,248.8432970411765,16.979435857894735
Security & Protection Services,3.0843350776086957,100.82245454545455,0.0338695652173913,0.3532299995652174,20.413260863636363,-0.12800741000000038
Specialty Business Services,11.477032955340905,141.61995121951213,0.03590243902439024,0.3516968184545455,75.24716861111112,12.16110058548387
Specialty Industrial Machinery,3.5843813702777774,54.58083076923076,0.14884057971014497,0.3374641684166666,50.92163275166666,17.720049975517245
Staffing & Employment Services,4.094819526875,190.38475000000003,14.59225,0.30565437743750007,12.952894957142856,10.319560892857144
Tools & Accessories,3.97205345625,51.707375000000006,0.059625000000000004,0.33295500250000004,32.196728285714286,20.371473
Trucking,2.80443785,55.22573333333333,-0.016133333333333336,0.20392200066666666,67.80697166666667,21.935467
Waste Management,3.851651935,125.9582380952381,0.6548,0.22604714190476188,122.96448377624445,4.085724615384617
REIT—Diversified,1.3269350821153845,167.20903846153846,-0.07096153846153846,0.7625857680769231,48.27982257,13.756520332142857
REIT—Healthcare Facilities,2.5420726178947377,184.30521052631576,0.15863157894736843,0.7383242089473684,79.04492830769232,8.020013066666666
REIT—Hotel & Motel,1.9003022135384617,154.52604545454543,-0.004269230769230769,0.31513653500000005,146.26865224999997,-103.95325657
REIT—Industrial,2.2295751685000003,112.09420000000003,0.03935000000000001,0.7385354945,29.25562452142857,-105.6417395
REIT—Mortgage,1.237501000555556,554.6608611111108,16.756416666666663,0.8104633330555554,17.132090640909087,5.978626263157895
